Name;Sex;Birth Date;Address;Phone Number;Email;SNS User Number;Citizen Card Number
Joao Castro;Male;8/12/2001;Lot de Coura#4775-444#Nine;933398881;joao@gmail.com;123441221;11960343 8 ZW1
Ze Oliveira;;4/10/2000;Rua da Anta#9991-111#Fama;933398888;ze@gmail.com;113211321;14268862 2 ZX8
Guilherme Sousa;Male;12/5/1992;Nixo#9999-111#Fatima;933398880;gui@gmail.com;333111332;35619927 4 ZX6
Pedro Monteiro;Female;12/12/2012;Rixowe#1112-231#Hoas;933398885;pedro@isep.ipp.pt;991001123;12302362 9 ZW9
Sousa;Male;13/05/2002;Lisboa#1110-213#Porto;933398883;sousa@gmail.com;333111332;38002291 5 ZY5
Vitor Hugo Cavalcanti;Masculino;25/02/1952;Rua São João do Porto|222|4150-385|PORTO;953224331;953224331@gmail.com;161593120;10095830
Augusto Ramos;Masculino;24/05/1951;Rua  Grupo 10 de Maio|210|4200-315|PORTO;953224332;953224332@gmail.com;161593121;10095831
Clarice da Paz;Feminino;18/03/1951;Rua  Guedes de Azevedo|304|4000-273|PORTO;953224337;953224337@gmail.com;161593126;10095836
Luigi Nogueira;;21/07/1954;Rua  Guedes de Azevedo|273|4000-272|PORTO;953224338;953224338@gmail.com;161593127;10095837
Augusto Santos;;04/02/1963;Rua  Salgueiral|9|4200-477|PORTO;953226000;953226000@gmail.com;161594789;10097499
Pedro Miguel Costela;;20/05/1961;Rua  Salazares|24|4149-2|PORTO;953225999;953225999@gmail.com;161594788;10097498
Srta. Olivia Sales;;17/09/1962;Rua  Salgueiral|557|4200-475|PORTO;953226001;953226001@gmail.com;161594790;10097500
Nicolas Mendes;;28/02/1961;Rua  Salgueiral|499|4200-477|PORTO;953226002;953226002@gmail.com;161594791;10097501
Carlos Eduardo Rezende;;15/06/1973;Rua  Vale Formoso|249|4200-514|PORTO;953231194;953231194@gmail.com;161599983;10102693
Stella Nogueira;;04/03/1967;Rua  Vale Formoso|479|4200-511|PORTO;953231195;953231195@gmail.com;161599984;10102694
Maria Luiza Teixeira;;23/01/1970;Rua  Vale Formoso|544|4200-512|PORTO;953231196;953231196@gmail.com;161599985;10102695
Dra. Isis Porto;;13/03/1972;Rua  Vale Formoso|80|4200-513|PORTO;953231197;953231197@gmail.com;161599986;10102696
Srta. Amanda Almeida;;20/11/1971;Rua  Vale Formoso|439|4200-514|PORTO;953231198;953231198@gmail.com;161599987;10102697
Pedro Novaes;;21/10/1973;Rua  Vale Formoso|567|4200-508|PORTO;953231199;953231199@gmail.com;161599988;10102698
Bernardo Correia;;27/09/1970;Rua  Vale Formoso|300|4200-509|PORTO;953231200;953231200@gmail.com;161599989;10102699
Levi Lopes;;27/02/1969;Rua  Vale Formoso|594|4200-510|PORTO;953231201;953231201@gmail.com;161599990;10102700
Maysa Pinto;;10/10/1971;Rua  Vale Formoso|598|4200-507|PORTO;953231202;953231202@gmail.com;161599991;10102701
Evelyn Aragão;;30/07/1967;Rua  Valongo|516|4100-481|PORTO;953231203;953231203@gmail.com;161599992;10102702
Cecília Araújo;;16/06/1966;Rua  Valpaços|166|4300-494|PORTO;953231204;953231204@gmail.com;161599993;10102703
João Lima;;26/02/1970;Largo  Valverde|290|4350-336|PORTO;953231205;953231205@gmail.com;161599994;10102704
Enzo Gabriel Cardoso;;17/01/1970;Rua  Argentina|15|4150-102|PORTO;953231206;953231206@gmail.com;161599995;10102705
Breno Fogaça;;19/09/1972;Rua  Argentina|190|4150-101|PORTO;953231207;953231207@gmail.com;161599996;10102706
Caroline Dias;;03/02/1967;Calçada  Vandoma|249|4050-620|PORTO;953231208;953231208@gmail.com;161599997;10102707
Olivia Peixoto;;25/02/1970;Rua  Vanzeleres|177|4100-483|PORTO;953231209;953231209@gmail.com;161599998;10102708
Davi Lucca Azevedo;;11/11/1969;Rua  Vanzeleres|447|4100-484|PORTO;953231210;953231210@gmail.com;161599999;10102709
